Subjects,Units
Physics 71,4
Physics 71.1,1
Math 21,4
ME 1,3
ES 1,2
Eng 13,3
Philo 1,3
PE ,2
Chem 16,3
Chem 16.1,2
Physics 72,4
Physics 72.1,1
Math 22,4
ES 26,3
Speech 30,3
PE ,2
ME 61,4
Math 23,4
ME 11,4
ES 101,4
ME 31,1
Fil 40,3
ME 62,4
EEE 1,4
ME 12,4
ME 51,4
MetE 143,3
ME 32,1
ME 163,4
ME 71,3
ME 146,4
ME 152,4
ME 133,3
NSTP,3
ME 166,4
ME 172,3
ME 113,2
ME 147,4
ME 156,3
ME 134,4
NSTP,3
Free Elective,3
ME 197,3
ME 190,2
ME 100,2
ME 195,3
STS 1/DRMAPS,3
Kas 1,3
PE ,2
PI 100,3
ME 197/198,3
ME 199,2
ME 196,2
GE Elective,3
Arts 1,3
Soc Sci 1/2,3
PE ,2
Total,170
