Subjects,Units
Kas 1,3
Philo 1,3
CS 10,3
CS 11,3
CS 30,3
Math 21,4
PE,2
Socsci 1/2,3
CS 12,3
CS 31,3
Math 22,4
Physics 71,4
PE,2
Eng 13,3
CS 20,3
CS 32,4
Math 23,4
Physics 72,4
PE,2
NSTP,2
Speech 30,3
CS 21,4
CS 33,4
CS 136,3
Math 40,3
PE ,2
NSTP,3
Fil 40,3
CS 138,3
CS 140,4
CS 150,3
CS 165,4
CS 191,3
Eng 30,3
CS 145,4
CS 153,3
CS 180,3
CS 192,3
CS 194,1
CS 195,3
STS 1/DRMAPS,3
Free GE,3
CS 133,3
CS 198,3
Elective,3
Engg 150,3
Arts 1,3
CS 132,3
CS 155,3
CS 196,1
CS 199/200,3
CS Elective,3
PI 100,3
Total ,161
