Subjects,Units
Eng 13,3
Math 21,4
Physics 71,4
Physics 71.1,1
GE 2,1
GE 10,3
CE 29,3
PE,2
Math 22,4
Physics 72,4
Physics 72.1,1
GE 12,4
GE 30,3
GE 120,3
GE 142,1
PE,2
Kas 1,3
Math 23,4
GE 117,3
GE 122,3
GE 161,3
GE 162,3
PE,2
NSTP,3
GE 118,3
GE 127,4
GE 168,3
GIM 165,3
CE 11,3
ES 101,4
PE,2
NSTP,3
GE 193,2
Speech 30,3
GE 116,3
GE 144,3
GIM 176,2
GsE 188,4
GsE 189,4
Fil 40,3
Philo 1,3
GE 149,2
GE 169,4
ES 101,2
Free Elective,3
GE 192,3
Arts 1,3
Soc Sci 2,3
GE 197,3
GE 199,3
GIM 177,3
EEE 3,3
Engg 150,3
STS 1,3
GE Elective,3
PI 100,3
GE 143,3
GE 200,3
Free Elective,3
Total,172
